City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,remire-montjoly,4.9167,-52.2667,30.02,70,20,5.66,GF,1709929158
83,edinburgh of the seven seas,-37.0676,-12.3116,17.9,83,5,8.31,SH,1709929161
84,lebu,-37.6167,-73.65,16.21,70,100,1.97,CL,1709929163
85,xudat,41.631,48.681,2.59,74,60,0.86,AZ,1709929163
86,vernon,50.2581,-119.2691,7.91,80,100,2.57,CA,1709929163
87,longyearbyen,78.2186,15.6401,-0.09,86,75,5.14,SJ,1709929164
88,thompson,55.7435,-97.8558,-2.91,43,75,5.66,CA,1709929164
89,antsiranana,-12.2787,49.2917,25.27,88,100,3.85,MG,1709929164
90,sidney,-33.8679,151.2073,20.61,83,20,2.57,AU,1709929015
91,felipe carrillo puerto,19.5833,-88.05,34.05,38,5,4.37,MX,1709929164
92,bela,25.9333,81.9833,17.61,34,0,3.66,IN,1709929165
93,bardai,11.65,7.2333,30.44,11,18,3.66,NG,1709929166
94,igrim,63.1906,64.4162,-18.25,97,85,3.1,RU,1709929168
95,mar del plata,-38.0023,-57.5575,27.01,77,0,4.12,AR,1709929168
96,codrington,-38.2667,141.9667,16.85,38,0,4.3,AU,1709929168
97,usogorsk,63.4106,48.6872,-17.68,97,95,2.67,RU,1709929168
98,baker city,44.7749,-117.8344,7.84,47,0,7.72,US,1709929136
99,carnarvon,-24.8667,113.6333,24.57,77,0,11.8,AU,1709929169
100,sao felix do xingu,-6.6447,-51.995,29.73,78,78,1.41,BR,1709929169
101,puerto colombia,10.9878,-74.9547,32.05,77,1,9.27,CO,1709929169
102,pacifica,37.6138,-122.4869,19.85,53,0,4.12,US,1709929169
103,vadso,70.0744,29.7487,1.09,93,75,5.66,NO,1709929170
104,khovd,48.0056,91.6419,-5.5,58,53,2.28,MN,1709929170
105,sanchor,24.7553,71.7722,19.64,19,0,4.36,IN,1709929170
106,natal,-5.795,-35.2094,27.36,83,75,3.09,BR,1709928915
107,kawanoecho,34.0167,133.5667,4.76,80,100,3.92,JP,1709929170
108,vilyuchinsk,52.9306,158.4028,-11.85,82,84,5.27,RU,1709929171
109,victorica,-36.2151,-65.4359,31.49,41,51,4.44,AR,1709929171
110,invercargill,-46.4,168.35,11.68,71,90,4.92,NZ,1709929007
111,kaya,13.0917,-1.0844,32.49,7,86,1.26,BF,1709929171
112,yanbu,24.0891,38.0637,21.02,68,0,7.2,SA,1709929172
113,sunne,59.8376,13.143,0.18,85,100,2.51,SE,1709929172
114,le port,-20.9373,55.2919,25.98,80,24,1.93,RE,1709929172
115,kupang,-10.1667,123.5833,27.32,100,100,2.06,ID,1709929172
116,wotje,9.4543,170.2367,26.62,78,79,11.08,MH,1709929173
117,tolanaro,-25.0319,46.9987,23.91,90,92,4.87,MG,1709929173
118,ponta delgada,37.7333,-25.6667,15.4,67,40,5.66,PT,1709929174
119,anadyr,64.75,177.4833,-21.72,77,0,3.0,RU,1709929174
120,atafu village,-8.5421,-172.5159,28.74,74,7,3.96,TK,1709929174
121,ubinskoye,55.3068,79.6802,-18.3,97,63,3.24,RU,1709929174
122,aasiaat,68.7098,-52.8699,-16.65,90,100,4.17,GL,1709929174
123,timbuktu,16.7735,-3.0074,30.07,8,66,3.79,ML,1709929175
124,geraldton,-28.7667,114.6,19.23,68,100,9.26,AU,1709929175
125,malanje,-9.5402,16.341,18.01,92,72,1.26,AO,1709929175
126,kiffa,16.6166,-11.4045,31.19,11,100,1.01,MR,1709929176
127,asau,46.4333,26.4,-1.49,92,72,0.74,RO,1709929176
